Name:,"onRowDataVal.csv",,,,
Author:,"Created by TEXTREADR",,,,
Date:,10-Oct-2024 13:47:45,,,,
Modification Date:,10-Oct-2024 13:47:45,,,,
Description:,"",,,,
,,,,,
,,,,,
,"Label","Label","1.",,
,"1.","1.","1.",77.5357673654,
,"2.","1.","1.",75.076749616,
,"3.","1.","1.",75.6042704038,
,"4.","1.","1.",74.1852072431,
,"5.","1.","1.",74.3772790386,
,"97.","2.","2.",74.7628496352,
,"98.","2.","2.",74.6964768629,
,"99.","2.","2.",74.8789131527,
,"101.","2.","2.",74.154758465,
,"192.","1.","1.",73.7248212069,
,"193.","1.","1.",72.3362128891,
,"194.","1.","1.",72.0943435826,
,"195.","1.","1.",73.591058538,
,"196.","1.","1.",72.1458470664,
,"287.","2.","2.",66.9855624826,
,"288.","2.","2.",67.4562376016,
,"289.","2.","2.",67.9407649028,
,"290.","2.","2.",67.8640674336,
,"291.","2.","2.",68.61768882,
,"402.","2.","2.",68.676154123,
,"403.","2.","2.",69.1184778614,
,"404.","2.","2.",67.6661496907,
,"405.","2.","2.",68.8865280777,
,"406.","2.","2.",66.0264239922,
,"502.","1.","1.",66.2976949576,
,"503.","1.","1.",67.6903501878,
,"504.","1.","1.",66.7418988528,
,"505.","1.","1.",65.4936485328,
,"506.","1.","1.",66.3607778213,
,"597.","2.","2.",59.7908541729,
,"598.","2.","2.",60.3629278331,
,"599.","2.","2.",54.0460008553,
,"600.","2.","2.",51.0000337825,
,"601.","2.","2.",54.1057707414,
,"707.","1.","1.",69.2003676023,
,"708.","1.","1.",69.3077077304,
,"709.","1.","1.",67.6095781613,
,"710.","1.","1.",68.3260335977,
,"711.","1.","1.",68.5725418957,
,"827.","2.","2.",77.8842423552,
,"828.","2.","2.",76.7858583672,
,"829.","2.","2.",76.6010144542,
,"830.","2.","2.",76.0839406141,
,"831.","2.","2.",76.5191530816,
,"927.","1.","1.",67.2882994099,
,"928.","1.","1.",66.7290456269,
,"929.","1.","1.",69.7574821442,
,"930.","1.","1.",69.8997494962,
,"931.","1.","1.",68.3605416269,
,"1007.","1.","1.",56.2424337807,
,"1008.","1.","1.",54.5587980243,
,"1009.","1.","1.",57.8880468559,
,"1010.","1.","1.",58.9306887289,
,"1011.","1.","1.",56.8170121675,
