Name:,"Spectra.csv",,,,
Author:,"Created by BE99",,,,
Date:,27-Aug-2025 10:03:44,,,,
Modification Date:,27-Aug-2025 10:03:44,,,,
Description:,"Predictions generated by exported Python model",,,,
,,,,,
,,,,,
,"Label","Label","1.",,
,"1.","1.","1.",74.5818857129051,
,"2.","1.","1.",72.16443313998073,
,"3.","1.","1.",71.37529091915732,
,"4.","1.","1.",72.45713177540473,
,"5.","1.","1.",75.16814919622749,
,"97.","2.","2.",69.74682313883416,
,"98.","2.","2.",73.73490168351206,
,"99.","2.","2.",71.49798402055939,
,"101.","2.","2.",70.9043876595874,
,"192.","1.","1.",70.62690343720269,
,"193.","1.","1.",72.0457958935798,
,"194.","1.","1.",72.77836015863876,
,"195.","1.","1.",74.67849267491569,
,"196.","1.","1.",73.68190097355472,
,"287.","2.","2.",65.72792593982639,
,"288.","2.","2.",65.82507175207952,
,"289.","2.","2.",67.51230184243245,
,"290.","2.","2.",64.94558004957248,
,"291.","2.","2.",66.41593610098536,
,"402.","2.","2.",67.32732262058106,
,"403.","2.","2.",63.83281399220182,
,"404.","2.","2.",62.15477676188304,
,"405.","2.","2.",68.59630595407997,
,"406.","2.","2.",67.0467577758913,
,"502.","1.","1.",67.13553663663411,
,"503.","1.","1.",65.87565923771336,
,"504.","1.","1.",63.059103311281525,
,"505.","1.","1.",67.3955831369133,
,"506.","1.","1.",67.49439919721836,
,"597.","2.","2.",61.98029151585302,
,"598.","2.","2.",61.78469378342215,
,"599.","2.","2.",61.08261537042156,
,"600.","2.","2.",60.36449036762739,
,"601.","2.","2.",59.88830820800798,
,"707.","1.","1.",69.92747174550887,
,"708.","1.","1.",68.83254912278903,
,"709.","1.","1.",67.57670880762035,
,"710.","1.","1.",69.21813619442973,
,"711.","1.","1.",71.39293054992281,
,"827.","2.","2.",73.06332292570009,
,"828.","2.","2.",73.44979694625899,
,"829.","2.","2.",72.50604900819576,
,"830.","2.","2.",75.30030929216448,
,"831.","2.","2.",72.82318367886705,
,"927.","1.","1.",68.60486628743864,
,"928.","1.","1.",69.98179923804668,
,"929.","1.","1.",67.71533179951048,
,"930.","1.","1.",68.25976342776299,
,"931.","1.","1.",69.29769542666573,
,"1007.","1.","1.",59.2087413641497,
,"1008.","1.","1.",57.074222367572716,
,"1009.","1.","1.",56.97177709230216,
,"1010.","1.","1.",60.300009944169794,
,"1011.","1.","1.",56.987631930960106,
